Order_ID,Order_Date_ID,Delivery_Date_ID,Delivery_Days,Car_ID,Customer_ID,Region,Country,Dealer,Sales_Rep,Customer_Type,Order_Channel,Payment_Method,Discount_Pct,Final_Price_USD,Is_Certified_Pre_Owned,Mileage_At_Sale,Warranty_Years,Customer_Satisfaction_Score,Units_Sold
1,20260618,20260930,104,CAR00001,CUST003348,North America,Canada,BMW Vancouver,Fatima Rossi,Individual,Dealership Walk-in,Bank Loan,2.91,152237.12,False,0,4,3.9,1
2,20250323,20250423,31,CAR00002,CUST000064,North America,Canada,BMW Toronto,Fatima Rossi,Individual,Online Configurator,Lease,2.9,86224.8,False,0,4,4.5,1
3,20250608,20251002,116,CAR00003,CUST002359,North America,Canada,BMW Toronto,Anna Weber,Lease Return Buyout,Online Configurator,Bank Loan,2.3,75326.7,False,0,4,4.3,1
4,20241225,20250222,59,CAR00004,CUST002662,Europe,Germany,BMW Berlin Mitte,Anna Nakamura,Lease Return Buyout,Referral,Lease,4.6,132892.2,False,0,4,5.0,1
5,20230429,20230515,16,CAR00005,CUST002794,North America,USA,South Bay BMW,Olivia Silva,Individual,Dealership Walk-in,Lease,4.59,67168.64,False,0,4,3.8,1
6,20230821,20231130,101,CAR00006,CUST001904,North America,Canada,BMW Vancouver,Olivia Hassan,Individual,Dealership Walk-in,Cash,3.54,80351.18,False,0,4,4.6,1
7,20240616,20240808,53,CAR00007,CUST002172,North America,Mexico,BMW Guadalajara,Marco Müller,Individual,Dealership Walk-in,Lease,3.2,111997.6,False,0,4,4.1,1
8,20260618,20260725,37,CAR00008,CUST003878,North America,USA,BMW of Austin,Maria Zhang,Lease Return Buyout,Online Configurator,Manufacturer Finance,2.4,132931.2,False,0,4,4.6,1
9,20250926,20251225,90,CAR00009,CUST001019,North America,USA,BMW of Manhattan,Liam Garcia,Individual,Dealership Walk-in,Lease,6.34,74459.7,False,0,4,4.1,1
10,20231116,20231221,35,CAR00010,CUST003710,Asia Pacific,Singapore,Performance Motors Singapore,Laura Silva,Individual,Online Configurator,Lease,3.34,157265.82,False,0,4,5.0,1
11,20251012,20251106,25,CAR00011,CUST000089,North America,Mexico,BMW Guadalajara,Olivia Silva,Individual,Online Configurator,Lease,1.68,80720.72,False,0,4,4.6,1
12,20230117,20230420,93,CAR00012,CUST001840,Asia Pacific,Japan,BMW Osaka,Marco Schmidt,Individual,Online Configurator,Manufacturer Finance,1.02,153616.96,False,0,4,4.2,1
13,20230608,20230724,46,CAR00013,CUST002475,North America,Canada,BMW Vancouver,Wei Andersson,Individual,Dealership Walk-in,Manufacturer Finance,0.0,157100.0,False,0,4,4.4,1
14,20250423,20250807,106,CAR00014,CUST003281,Europe,United Kingdom,BMW Manchester,Ravi Rossi,Individual,Dealership Walk-in,Lease,1.9,74261.7,False,0,4,4.1,1
15,20251006,20260117,103,CAR00015,CUST003000,North America,USA,BMW of Manhattan,Omar Tanaka,Individual,Auto Show Event,Cash,3.46,83120.94,False,0,4,3.9,1
16,20231214,20240216,64,CAR00016,CUST002850,Europe,Netherlands,BMW Amsterdam,Elena Ivanov,Individual,Dealership Walk-in,Cash,1.87,81938.55,False,0,4,5.0,1
17,20240627,20240905,70,CAR00017,CUST001362,North America,Canada,BMW Toronto,Karim Murphy,Lease Return Buyout,Online Configurator,Manufacturer Finance,1.66,90276.12,False,0,4,4.5,1
18,20221006,20230112,98,CAR00018,CUST002906,Asia Pacific,Australia,BMW Melbourne,Anna Khan,Certified Pre-Owned Trade-In,Dealership Walk-in,Manufacturer Finance,2.68,84279.12,True,20581,4,4.2,1
19,20230123,20230410,77,CAR00019,CUST002668,Europe,Germany,BMW Stuttgart Zentrum,Lucas Khan,Corporate Fleet,Referral,Lease,0.87,95858.71,False,0,4,4.2,1
20,20260428,20260527,29,CAR00020,CUST001380,Asia Pacific,Australia,BMW Melbourne,Wei Weber,Individual,Dealership Walk-in,Bank Loan,1.07,81716.18,False,0,4,5.0,1
21,20251212,20260303,81,CAR00021,CUST001689,Rest of World,Brazil,BMW São Paulo,Wei Murphy,Certified Pre-Owned Trade-In,Dealership Walk-in,Manufacturer Finance,3.01,102130.47,True,21736,4,4.3,1
22,20250701,20251011,102,CAR00022,CUST002858,Asia Pacific,Japan,BMW Osaka,Tom Silva,Certified Pre-Owned Trade-In,Auto Show Event,Bank Loan,0.51,131525.78,True,6512,4,4.6,1
23,20220301,20220626,117,CAR00023,CUST000628,Middle East,UAE,BMW Abu Dhabi,Marco Müller,Individual,Dealership Walk-in,Lease,2.05,112936.35,False,0,4,3.8,1
24,20220522,20220903,104,CAR00024,CUST000136,North America,Mexico,BMW Polanco,Laura Silva,Individual,Online Configurator,Lease,5.22,76297.9,False,0,4,4.2,1
25,20250311,20250503,53,CAR00015,CUST001858,Middle East,Qatar,BMW Doha,Marco Schmidt,Individual,Dealership Walk-in,Bank Loan,0.0,95500.0,False,0,4,4.2,1
26,20260325,20260713,110,CAR00025,CUST000133,Asia Pacific,Japan,BMW Osaka,Lucas Kim,Individual,Online Configurator,Bank Loan,5.8,134894.4,False,0,4,5.0,1
27,20230605,20230704,29,CAR00026,CUST003783,North America,Mexico,BMW Guadalajara,Elena Zhang,Individual,Dealership Walk-in,Lease,3.33,82942.86,False,0,4,4.0,1
28,20220730,20221118,111,CAR00027,CUST000897,Europe,Spain,BMW Barcelona,Laura Nakamura,Individual,Online Configurator,Manufacturer Finance,1.65,82220.6,False,0,4,4.5,1
29,20220420,20220721,92,CAR00028,CUST000525,North America,Mexico,BMW Polanco,Wei Weber,Individual,Dealership Walk-in,Bank Loan,4.03,80038.98,False,0,4,4.3,1
30,20250621,20250922,93,CAR00029,CUST000918,Rest of World,Brazil,BMW São Paulo,Lucas Kim,Individual,Online Configurator,Lease,0.0,123200.0,False,0,4,4.5,1
31,20230624,20230716,22,CAR00030,CUST002923,Asia Pacific,China,BMW Beijing Chaoyang,Noah Zhang,Individual,Dealership Walk-in,Bank Loan,4.74,79065.8,False,0,4,4.6,1
32,20251012,20260123,103,CAR00031,CUST000052,Europe,United Kingdom,BMW Manchester,Nina Tanaka,Individual,Dealership Walk-in,Bank Loan,3.63,134436.15,False,0,4,4.4,1
33,20220717,20221029,104,CAR00032,CUST000569,Asia Pacific,Japan,BMW Osaka,Omar Schmidt,Individual,Auto Show Event,Lease,4.16,77822.08,False,0,4,3.9,1
34,20231114,20231227,43,CAR00033,CUST003457,Middle East,Qatar,BMW Doha,Lucas Kim,Individual,Online Configurator,Cash,4.75,91916.25,False,0,4,4.6,1
35,20220707,20221030,115,CAR00034,CUST000292,Middle East,Qatar,BMW Doha,Liam Garcia,Corporate Fleet,Dealership Walk-in,Lease,0.0,153800.0,False,0,4,5.0,1
36,20260607,20260628,21,CAR00035,CUST003085,Europe,Netherlands,BMW Amsterdam,Nina Silva,Individual,Fleet Program,Bank Loan,0.0,90700.0,False,0,4,5.0,1
37,20250317,20250511,55,CAR00036,CUST003170,Asia Pacific,Singapore,Performance Motors Singapore,Elena Cohen,Corporate Fleet,Referral,Lease,0.0,81700.0,False,0,4,4.6,1
38,20250704,20251016,104,CAR00037,CUST003033,Middle East,UAE,BMW Abu Dhabi,Ravi Rossi,Individual,Referral,Bank Loan,0.95,154914.2,False,0,4,4.3,1
