Car_ID,Model,Variant,Model_Year,Body_Type,Engine,Cylinders,Transmission,Drivetrain,Fuel_Type,Color,Horsepower_HP,Zero_to_100_sec,Top_Speed_MPH,MSRP_USD
CAR00001,M8 Gran Coupe,Base,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Toronto Red,609,3.4,155,159000
CAR00002,M4,Base,2025,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,512,4.0,155,86900
CAR00003,X3 M,Base,2025,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Brooklyn Grey,485,3.8,155,80200
CAR00004,M5,Base,2024,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Black Sapphire,660,3.5,155,134000
CAR00005,M2,Base,2023,Coupe,3.0L Twin-Turbo I6,6,6-Speed Manual,RWD,Petrol,Black Sapphire,454,3.8,155,69200
CAR00006,X4 M,Base,2023,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,483,3.8,155,80600
CAR00007,M5,Base,2024,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Frozen Portimao Blue,668,3.3,155,126400
CAR00008,M4,CSL,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Zandvoort Blue,505,4.3,190,136200
CAR00009,X3 M,Competition,2026,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,497,4.1,155,83300
CAR00010,XM,Base,2023,SUV,4.4L Twin-Turbo V8 Hybrid,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Black Sapphire,708,3.4,155,174700
CAR00011,M3,Base,2026,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Sao Paulo Yellow,502,4.2,155,86200
CAR00012,M8,Competition,2023,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Alpine White,612,3.3,155,160000
CAR00013,M8 Gran Coupe,Competition,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Petrol,Frozen Portimao Blue,610,3.4,155,158700
CAR00014,M3,Base,2025,Sedan,3.0L Twin-Turbo I6,6,6-Speed Manual,RWD,Petrol,Alpine White,510,3.8,155,80800
CAR00015,M3,Base,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Alpine White,493,3.8,155,87800
CAR00016,X4 M,Competition,2024,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Toronto Red,499,3.8,155,91300
CAR00017,M4,Base,2024,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Zandvoort Blue,506,3.8,155,85100
CAR00018,X3 M,Base,2022,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,490,3.8,155,82400
CAR00019,M3 Touring,Competition,2023,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,502,3.8,155,95500
CAR00020,M3,Base,2026,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,491,3.8,155,84100
CAR00021,M4,Competition,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Sao Paulo Yellow,512,3.9,155,105300
CAR00022,M5,Competition,2025,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Brooklyn Grey,683,3.2,155,133300
CAR00023,X5 M,Base,2022,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Individual Frozen Grey,603,3.0,155,117800
CAR00024,M2,Competition,2022,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Skyscraper Grey,452,3.6,155,80800
CAR00025,M8 Gran Coupe,Base,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,616,3.5,155,144200
CAR00026,M4,Base,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,490,4.0,155,90200
CAR00027,X3 M,Competition,2022,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Toronto Red,499,3.8,155,83100
CAR00028,X4 M,Base,2022,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,481,3.8,155,83600
CAR00029,X5 M,Base,2025,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Brooklyn Grey,611,3.4,155,119800
CAR00030,M3,Competition,2023,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Signal Green,510,4.0,155,89800
CAR00031,M5,Base,2025,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Black Sapphire,661,3.6,155,121900
CAR00032,X3 M,Base,2022,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Diesel,Skyscraper Grey,493,3.9,155,80900
CAR00033,M4 Convertible,Competition,2023,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Black Sapphire,498,3.5,155,96500
CAR00034,M8,Base,2022,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Petrol,Signal Green,617,3.0,155,153800
CAR00035,M4,Competition,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,517,3.6,155,87400
CAR00036,X4 M,Competition,2025,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,495,3.9,155,88000
CAR00037,M8,Competition,2025,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Alpine White,611,3.1,155,157600
CAR00038,M4,Base,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Brooklyn Grey,502,3.6,155,84800
CAR00039,M4,CS,2025,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Alpine White,506,3.8,182,103700
CAR00040,M3 Touring,Base,2023,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Frozen Portimao Blue,518,4.0,155,96000
CAR00041,X4 M,Base,2022,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,489,4.0,155,80500
CAR00042,X6 M,Base,2025,SUV Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Alpine White,610,3.3,155,126500
CAR00043,M4,Base,2024,Coupe,3.0L Twin-Turbo I6,6,6-Speed Manual,RWD,Petrol,Skyscraper Grey,485,3.8,155,76200
CAR00044,M5,Competition,2022,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Alpine White,681,3.2,155,129800
CAR00045,M8,Base,2023,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Skyscraper Grey,607,3.4,155,142800
CAR00046,M8,Competition,2023,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Petrol,Individual Frozen Grey,610,3.2,155,163000
CAR00047,X3 M,Competition,2026,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,495,4.0,155,87600
CAR00048,M3,CS,2024,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Black Sapphire,507,4.0,183,98300
CAR00049,X3 M,Base,2023,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Skyscraper Grey,486,4.0,155,82100
CAR00050,M5,Base,2022,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Alpine White,685,3.4,155,129100
CAR00051,M8,Competition,2022,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Sao Paulo Yellow,612,3.0,155,158600
CAR00052,X3 M,Competition,2025,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Toronto Red,495,3.9,155,89100
CAR00053,M4,Competition,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Signal Green,520,3.8,155,104500
CAR00054,M3 Touring,Base,2025,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Frozen Portimao Blue,511,3.9,155,93600
CAR00055,M3 Touring,Competition,2023,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,504,3.6,155,93500
CAR00056,X5 M,Competition,2026,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Toronto Red,613,3.4,155,130500
CAR00057,M2,Base,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,439,3.8,155,73800
CAR00058,M2,Base,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Frozen Portimao Blue,413,4.2,155,74900
CAR00059,M3,Base,2024,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,510,4.1,155,85400
CAR00060,M2,Base,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Toronto Red,421,3.9,155,74200
CAR00061,M4 Convertible,Competition,2025,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Alpine White,494,3.4,155,101300
CAR00062,M3 Touring,Competition,2024,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,500,3.6,155,87200
CAR00063,M4,CSL,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Isle of Man Green,508,3.7,180,142200
CAR00064,M3 Touring,Competition,2024,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Frozen Portimao Blue,522,3.9,155,102100
CAR00065,M3,Competition,2022,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Brooklyn Grey,510,3.7,155,88300
CAR00066,M4 Convertible,Competition,2024,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,497,3.9,155,105600
CAR00067,M5,Competition,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Alpine White,690,3.7,155,138400
CAR00068,X4 M,Competition,2026,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Diesel,Individual Frozen Grey,496,3.6,155,90900
CAR00069,X3 M,Base,2024,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,483,4.0,155,84700
CAR00070,M5,Competition,2022,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Black Sapphire,699,3.4,155,128000
CAR00071,M8 Gran Coupe,Base,2025,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Skyscraper Grey,607,3.4,155,154200
CAR00072,M2,Base,2024,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Isle of Man Green,432,4.2,155,68000
CAR00073,M2,Base,2022,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Skyscraper Grey,442,3.9,155,72600
CAR00074,M3,Competition,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,516,3.6,155,84100
CAR00075,M3,Base,2022,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Frozen Portimao Blue,493,3.8,155,82000
